Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Reid Bar,SRRB12,Reid Bar 12mm,,,12,,,0.89,6.0,500E,AS/NZS 4671
Reid Bar,SRRB16,Reid Bar 16mm,,,16,,,1.58,"6.0,9.0,12.0",500E,AS/NZS 4671
Reid Bar,SRRB20,Reid Bar 20mm,,,20,,,2.47,"6.0,9.0,12.0",500E,AS/NZS 4671
Reid Bar,SRRB25,Reid Bar 25mm,,,25,,,3.85,"6.0,9.0,12.0",500E,AS/NZS 4671
Reid Bar,SRRB32,Reid Bar 32mm,,,32,,,6.31,"9.0,12.0",500E,AS/NZS 4671
Channels,SC075040,Mild Steel Channel 75x40mm,40,,75,6.1,3.8,5.92,"6.0,9.0,10.5",G300,AS3679.1
Channels,SC100050,Mild Steel Channel 100x50mm,50,,100,6.7,4.2,8.33,"6.0,9.0,10.5",G300,AS3679.1
Channels,SC125065,Mild Steel Channel 125x65mm,65,,125,7.5,4.7,11.9,"6.0,9.0,10.5",G300,AS3679.1
Channels,SC150075,Mild Steel Channel 150x75mm,75,,150,9.5,6,17.7,"6.0,9.0,10.5,12.0,15.0,16.5,18.0",G300,AS3679.1
Channels,SC180075,Mild Steel Channel 180x75mm,75,,180,11,6,20.9,"6.0,9.0,10.5,12.0,15.0,18.0",G300,AS3679.1
